q_str,t_str,a_str
长龄库存指什么？,<triple id=671> 长龄库存	含义	有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。,<answer id=671> 有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。
长龄库存属于什么类型？,<triple id=674> 长龄库存	类型	物流类,<answer id=674> 物流类
长龄库存的类别是什么？,<triple id=677> 长龄库存	类型	物流类,<answer id=677> 物流类
代收代付是什么意思？,<triple id=691> 代收代付	含义	代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。,<answer id=691> 代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。
怎么理解代收代付？,<triple id=695> 代收代付	含义	代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。,<answer id=695> 代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。
代收代付的类型是什么？,<triple id=698> 代收代付	类型	业务类,<answer id=698> 业务类
采购价差指什么？,<triple id=704> 采购价差	含义	采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。,<answer id=704> 采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。
采购价差属于什么类型？,<triple id=707> 采购价差	类型	业务类,<answer id=707> 业务类
怎么解释返利返差？,<triple id=716> 返利返差	含义	返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。,<answer id=716> 返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。
返利返差属于什么类型？,<triple id=718> 返利返差	类型	业务类,<answer id=718> 业务类
定金代表什么？,<triple id=725> 定金	含义	订立合同的双发可以自由约定定金的数额，但是最高不能超过主合同标的额的百分之二十，超过部分不具有定金的效力。在我国的合同的订立过程中，当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。,<answer id=725> 订立合同的双发可以自由约定定金的数额，但是最高不能超过主合同标的额的百分之二十，超过部分不具有定金的效力。在我国的合同的订立过程中，当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。
怎么理解定金？,<triple id=728> 定金	含义	订立合同的双发可以自由约定定金的数额，但是最高不能超过主合同标的额的百分之二十，超过部分不具有定金的效力。在我国的合同的订立过程中，当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。,<answer id=728> 订立合同的双发可以自由约定定金的数额，但是最高不能超过主合同标的额的百分之二十，超过部分不具有定金的效力。在我国的合同的订立过程中，当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。
厂内交货价是什么意思？,<triple id=735> 厂内交货价	含义	指钢厂或合同供方在钢厂内指定地点或仓库将货物交给合同需方处置即完成交货。合同价格是否含厂内吊费按双方合同约定。,<answer id=735> 指钢厂或合同供方在钢厂内指定地点或仓库将货物交给合同需方处置即完成交货。合同价格是否含厂内吊费按双方合同约定。
怎么解释厂内交货价？,<triple id=738> 厂内交货价	含义	指钢厂或合同供方在钢厂内指定地点或仓库将货物交给合同需方处置即完成交货。合同价格是否含厂内吊费按双方合同约定。,<answer id=738> 指钢厂或合同供方在钢厂内指定地点或仓库将货物交给合同需方处置即完成交货。合同价格是否含厂内吊费按双方合同约定。
厂内交货价属于什么类型？,<triple id=740> 厂内交货价	类型	业务类,<answer id=740> 业务类
后结算的含义是什么？,<triple id=744> 后结算	含义	指不以当前合同价格（合同预付款价格）作为结算价格，而以双方按合同约定方式另行确认的价格作为实际结算价格的结算方式。,<answer id=744> 指不以当前合同价格（合同预付款价格）作为结算价格，而以双方按合同约定方式另行确认的价格作为实际结算价格的结算方式。
后结算是什么意思？,<triple id=746> 后结算	含义	指不以当前合同价格（合同预付款价格）作为结算价格，而以双方按合同约定方式另行确认的价格作为实际结算价格的结算方式。,<answer id=746> 指不以当前合同价格（合同预付款价格）作为结算价格，而以双方按合同约定方式另行确认的价格作为实际结算价格的结算方式。
后结算属于什么类别？,<triple id=752> 后结算	类型	业务类,<answer id=752> 业务类
怎么理解估值盯市？,<triple id=761> 估值盯市	含义	指按天对未结清的欧冶云商各产品进行估值，并将当日估值与合同生效当日的估值进行比对，计算出相较于合同生效日估值涨第86页跌幅比例的过程。,<answer id=761> 指按天对未结清的欧冶云商各产品进行估值，并将当日估值与合同生效当日的估值进行比对，计算出相较于合同生效日估值涨第86页跌幅比例的过程。
估值盯市属于什么类别？,<triple id=763> 估值盯市	类型	业务类,<answer id=763> 业务类
估值盯市的类别是什么？,<triple id=765> 估值盯市	类型	业务类,<answer id=765> 业务类
跌价预警属于什么类型？,<triple id=773> 跌价预警	类型	业务类,<answer id=773> 业务类
怎么理解合同归档超期？,<triple id=783> 合同归档超期	含义	合同已生效，但未归档，以合同生效日期作为跟踪起始点。,<answer id=783> 合同已生效，但未归档，以合同生效日期作为跟踪起始点。
合同归档超期的类型是什么？,<triple id=786> 合同归档超期	类型	业务类,<answer id=786> 业务类
谁负责业务洽谈？,<triple id=789> 业务洽谈	负责角色	地区公司,<answer id=789> 地区公司
物流服务商准入是哪个部门负责的？,<triple id=794> 物流服务商准入	负责角色	欧冶物流,<answer id=794> 欧冶物流
谁负责采购计划？,<triple id=805> 采购计划	负责角色	交易事业部、财务部,<answer id=805> 交易事业部、财务部
合同变更是哪个部门负责的？,<triple id=810> 合同变更	负责角色	运营中心,<answer id=810> 运营中心
价格管理是哪个部门负责的？,<triple id=812> 价格管理	负责角色	交易事业部、地区公司、运营中心,<answer id=812> 交易事业部、地区公司、运营中心
估值盯市是哪个部门负责的？,<triple id=816> 估值盯市	负责角色	运营中心,<answer id=816> 运营中心
钢厂跟单是哪个部门负责的？,<triple id=828> 钢厂跟单	负责角色	欧冶物流、地区公司,<answer id=828> 欧冶物流、地区公司
在途管控是哪个部门负责的？,<triple id=830> 在途管控	负责角色	欧冶物流,<answer id=830> 欧冶物流
货物入库是哪个部门负责的？,<triple id=832> 货物入库	负责角色	欧冶物流,<answer id=832> 欧冶物流
谁负责实物管理？,<triple id=835> 实物管理	负责角色	欧冶物流,<answer id=835> 欧冶物流
谁负责库存管理？,<triple id=841> 库存管理	负责角色	地区公司,<answer id=841> 地区公司
折扣是哪个部门负责的？,<triple id=844> 折扣	负责角色	运营中心,<answer id=844> 运营中心
毛利核算是哪个部门负责的？,<triple id=850> 毛利核算	负责角色	运营中心,<answer id=850> 运营中心
业务准备包括哪些内容？,<triple id=857> 业务准备	包含	业务洽谈,<answer id=857> 业务洽谈
业务准备包含哪些内容？,<triple id=865> 业务准备	包含	物流服务商准入,<answer id=865> 物流服务商准入
业务准备包含哪些内容？,<triple id=868> 业务准备	包含	授信管理,<answer id=868> 授信管理
业务准备涉及哪些内容？,<triple id=873> 业务准备	包含	授权管理,<answer id=873> 授权管理
业务准备涉及哪些内容？,<triple id=879> 业务准备	包含	合同年协备案,<answer id=879> 合同年协备案
购销合同包括哪些内容？,<triple id=884> 购销合同	包含	购销评审,<answer id=884> 购销评审
购销合同涉及哪些内容？,<triple id=888> 购销合同	包含	合同管理,<answer id=888> 合同管理
购销合同包括哪些内容？,<triple id=893> 购销合同	包含	价格管理,<answer id=893> 价格管理
购销合同包括哪些内容？,<triple id=896> 购销合同	包含	印章使用,<answer id=896> 印章使用
收付款包括哪些内容？,<triple id=908> 收付款	包含	付款审批,<answer id=908> 付款审批
出入库包含哪些内容？,<triple id=916> 出入库	包含	钢厂跟单,<answer id=916> 钢厂跟单
出入库涉及哪些内容？,<triple id=921> 出入库	包含	在途管控,<answer id=921> 在途管控
出入库包括哪些内容？,<triple id=926> 出入库	包含	实物管理,<answer id=926> 实物管理
出入库涉及哪些内容？,<triple id=930> 出入库	包含	仓库监管,<answer id=930> 仓库监管
出入库涉及哪些内容？,<triple id=933> 出入库	包含	提货,<answer id=933> 提货
购销结算包含哪些内容？,<triple id=937> 购销结算	包含	采购结算,<answer id=937> 采购结算
购销结算涉及哪些内容？,<triple id=939> 购销结算	包含	采购结算,<answer id=939> 采购结算
购销结算包含哪些内容？,<triple id=943> 购销结算	包含	销售结算,<answer id=943> 销售结算
购销结算涉及哪些内容？,<triple id=945> 购销结算	包含	销售结算,<answer id=945> 销售结算
业务完结包括哪些内容？,<triple id=950> 业务完结	包含	毛利核算,<answer id=950> 毛利核算
业务完结包括哪些内容？,<triple id=953> 业务完结	包含	用户对帐,<answer id=953> 用户对帐
业务洽谈涉及哪些内容？,<triple id=963> 业务洽谈	包含	业务人员职业素养,<answer id=963> 业务人员职业素养
客商准入包括哪些内容？,<triple id=968> 客商准入	包含	供应商资质及资信材料,<answer id=968> 供应商资质及资信材料
客商准入包括哪些内容？,<triple id=971> 客商准入	包含	统购分销供方准入,<answer id=971> 统购分销供方准入
客商准入包括哪些内容？,<triple id=977> 客商准入	包含	系统开户,<answer id=977> 系统开户
客商准入包含哪些内容？,<triple id=985> 客商准入	包含	统购分销供方复评,<answer id=985> 统购分销供方复评
开立银行账户包含哪些内容？,<triple id=988> 开立银行账户	包含	开立公司银行账户,<answer id=988> 开立公司银行账户
开立银行账户涉及哪些内容？,<triple id=990> 开立银行账户	包含	开立公司银行账户,<answer id=990> 开立公司银行账户
物流服务商准入包括哪些内容？,<triple id=1001> 物流服务商准入	包含	承运商选择,<answer id=1001> 承运商选择
授信管理包含哪些内容？,<triple id=1006> 授信管理	包含	授信占用和释放的节点,<answer id=1006> 授信占用和释放的节点
授权管理涉及哪些内容？,<triple id=1011> 授权管理	包含	产品业务系统权限分配,<answer id=1011> 产品业务系统权限分配
三新业务模式审批包含哪些内容？,<triple id=1018> 三新业务模式审批	包含	三新业务开展前的评估审批,<answer id=1018> 三新业务开展前的评估审批
合同年协备案包含哪些内容？,<triple id=1024> 合同年协备案	包含	合同条款内容,<answer id=1024> 合同条款内容
合同年协备案包含哪些内容？,<triple id=1027> 合同年协备案	包含	合同金额约定,<answer id=1027> 合同金额约定
采购计划包括哪些内容？,<triple id=1031> 采购计划	包含	采购计划风险,<answer id=1031> 采购计划风险
购销评审包含哪些内容？,<triple id=1033> 购销评审	包含	采购复审,<answer id=1033> 采购复审
合同管理包含哪些内容？,<triple id=1042> 合同管理	包含	销售合同签约,<answer id=1042> 销售合同签约
合同管理包括哪些内容？,<triple id=1046> 合同管理	包含	销售合同文本关键用词,<answer id=1046> 销售合同文本关键用词
价格管理包括哪些内容？,<triple id=1052> 价格管理	包含	价格及结算方式风险识别,<answer id=1052> 价格及结算方式风险识别
价格管理包含哪些内容？,<triple id=1054> 价格管理	包含	挂牌价格风险,<answer id=1054> 挂牌价格风险
印章使用涉及哪些内容？,<triple id=1059> 印章使用	包含	印章使用风险,<answer id=1059> 印章使用风险
估值盯市涉及哪些内容？,<triple id=1062> 估值盯市	包含	跌价风险,<answer id=1062> 跌价风险
资金计划涉及哪些内容？,<triple id=1065> 资金计划	包含	资金计划风险,<answer id=1065> 资金计划风险
付款审批包含哪些内容？,<triple id=1072> 付款审批	包含	供应商授信逾期超额,<answer id=1072> 供应商授信逾期超额
付款审批包含哪些内容？,<triple id=1078> 付款审批	包含	审批及拨付为同一人,<answer id=1078> 审批及拨付为同一人
付款审批包含哪些内容？,<triple id=1081> 付款审批	包含	代收代付资金未取得相关证明,<answer id=1081> 代收代付资金未取得相关证明
票据包括哪些内容？,<triple id=1088> 票据	包含	票据运作,<answer id=1088> 票据运作
票据包括哪些内容？,<triple id=1091> 票据	包含	票据折现,<answer id=1091> 票据折现
收付款控制包括哪些内容？,<triple id=1097> 收付款控制	包含	分批付款,<answer id=1097> 分批付款
收付款控制涉及哪些内容？,<triple id=1101> 收付款控制	包含	资金释放,<answer id=1101> 资金释放
收付款控制包括哪些内容？,<triple id=1103> 收付款控制	包含	两金管理,<answer id=1103> 两金管理
钢厂跟单包括哪些内容？,<triple id=1106> 钢厂跟单	包含	钢厂跟单风险,<answer id=1106> 钢厂跟单风险
钢厂跟单包括哪些内容？,<triple id=1109> 钢厂跟单	包含	钢厂超发或欠发,<answer id=1109> 钢厂超发或欠发
钢厂跟单涉及哪些内容？,<triple id=1113> 钢厂跟单	包含	发货指令传递,<answer id=1113> 发货指令传递
钢厂跟单包括哪些内容？,<triple id=1115> 钢厂跟单	包含	钢厂延期交货,<answer id=1115> 钢厂延期交货
货物入库涉及哪些内容？,<triple id=1122> 货物入库	包含	货物入库风险,<answer id=1122> 货物入库风险
实物管理包括哪些内容？,<triple id=1124> 实物管理	包含	实物管理风险,<answer id=1124> 实物管理风险
仓库监管涉及哪些内容？,<triple id=1128> 仓库监管	包含	仓库监管风险,<answer id=1128> 仓库监管风险
提货包括哪些内容？,<triple id=1133> 提货	包含	货物出库,<answer id=1133> 货物出库
库存管理涉及哪些内容？,<triple id=1137> 库存管理	包含	库存超期,<answer id=1137> 库存超期
采购结算包含哪些内容？,<triple id=1141> 采购结算	包含	采购发票,<answer id=1141> 采购发票
采购结算包括哪些内容？,<triple id=1148> 采购结算	包含	采购结算风险,<answer id=1148> 采购结算风险
折扣涉及哪些内容？,<triple id=1152> 折扣	包含	采购价差核对,<answer id=1152> 采购价差核对
折扣涉及哪些内容？,<triple id=1155> 折扣	包含	客户折扣生成,<answer id=1155> 客户折扣生成
销售结算包括哪些内容？,<triple id=1157> 销售结算	包含	销售发票结算,<answer id=1157> 销售发票结算
用户对帐包含哪些内容？,<triple id=1165> 用户对帐	包含	定期对账,<answer id=1165> 定期对账
用户对帐包括哪些内容？,<triple id=1169> 用户对帐	包含	钢厂余款处理,<answer id=1169> 钢厂余款处理
档案管理包括哪些内容？,<triple id=1175> 档案管理	包含	合同结案,<answer id=1175> 合同结案
入库超期未提指什么？,<triple id=1184> 入库超期未提	含义	限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄,<answer id=1184> 限于已入实体库的未提货物跟踪。有去向业务：下游用户在约定的提货期内仍没有提货的预警。提货期按销售合同的最后付款日期2：有去向超期天数=当前日期-最后付款日期2无去向业务：按约定超过库龄天数（目前为60天）起，进行超期天数跟踪:无去向超期天数=实际库龄
入库超期未提的蓝色预警是什么？,<triple id=1192> 入库超期未提	蓝色预警	0 天＜库龄（需排除黄橙红）说明：表示货物一旦入库就进入未提货跟踪。,<answer id=1192> 0 天＜库龄（需排除黄橙红）说明：表示货物一旦入库就进入未提货跟踪。
入库超期未提的类型是什么？,<triple id=1197> 入库超期未提	类型	物流类,<answer id=1197> 物流类
交货超期的定义是什么？,<triple id=1200> 交货超期	含义	上游供方超交货期没交货，以采购合同约定的预计最迟交货日期为判断点,<answer id=1200> 上游供方超交货期没交货，以采购合同约定的预计最迟交货日期为判断点
交货超期的橙色预警是什么？,<triple id=1209> 交货超期	橙色预警	30天＜超期天≤60天,<answer id=1209> 30天＜超期天≤60天
进项超期的定义是什么？,<triple id=1219> 进项超期	含义	上游供方货物已发货，但未开制进项发票；以系统入库日期作为起始点,<answer id=1219> 上游供方货物已发货，但未开制进项发票；以系统入库日期作为起始点
进项超期的橙色预警是什么？,<triple id=1228> 进项超期	橙色预警	45 天〈进项超期天≤60天,<answer id=1228> 45 天〈进项超期天≤60天
进项超期属于什么类型？,<triple id=1233> 进项超期	类型	业务类,<answer id=1233> 业务类
库存预警代表什么？,<triple id=1240> 库存预警	含义	按实物库龄和库存量，汇总到下游客户进行预警，以系统实物入库日期为起始点。,<answer id=1240> 按实物库龄和库存量，汇总到下游客户进行预警，以系统实物入库日期为起始点。
库存预警在什么时候会发生蓝色预警？,<triple id=1248> 库存预警	蓝色预警	0 天＜库龄≤30天 所有在库量,<answer id=1248> 0 天＜库龄≤30天 所有在库量
授信逾期超额的定义是什么？,<triple id=1257> 授信逾期超额	含义	逾期：是指授信超过期限仍占用的情况；超额：是指授信占用超授信额度的情况,<answer id=1257> 逾期：是指授信超过期限仍占用的情况；超额：是指授信占用超授信额度的情况
授信逾期超额的黄色预警是什么？,<triple id=1270> 授信逾期超额	黄色预警	1、0天<授信逾期≤30天所有授信占用说明：以上二个条件符合任意一个即为黄色预警,<answer id=1270> 1、0天<授信逾期≤30天所有授信占用说明：以上二个条件符合任意一个即为黄色预警
销项超期的定义是什么？,<triple id=1276> 销项超期	含义	货物已销售出库，但未开制销项发票，以系统出库日期作为起始点,<answer id=1276> 货物已销售出库，但未开制销项发票，以系统出库日期作为起始点
销项超期指什么？,<triple id=1279> 销项超期	含义	货物已销售出库，但未开制销项发票，以系统出库日期作为起始点,<answer id=1279> 货物已销售出库，但未开制销项发票，以系统出库日期作为起始点
销项超期在什么时候会发生橙色预警？,<triple id=1284> 销项超期	橙色预警	60天＜销项超期天,<answer id=1284> 60天＜销项超期天
销项超期的蓝色预警是什么？,<triple id=1287> 销项超期	蓝色预警	0天＜销项超期天≤30天,<answer id=1287> 0天＜销项超期天≤30天
